FIPS	State	County	Variable	age_adjusted_premature_mortality
4012	Arizona	La Paz	age_adjusted_premature_mortality	487.6
4013	Arizona	Maricopa	age_adjusted_premature_mortality	303.5
4015	Arizona	Mohave	age_adjusted_premature_mortality	471.8
4017	Arizona	Navajo	age_adjusted_premature_mortality	465.4
4019	Arizona	Pima	age_adjusted_premature_mortality	342.7
4021	Arizona	Pinal	age_adjusted_premature_mortality	306.3
4023	Arizona	Santa Cruz	age_adjusted_premature_mortality	246.1
4025	Arizona	Yavapai	age_adjusted_premature_mortality	336.4
4027	Arizona	Yuma	age_adjusted_premature_mortality	287.3
5001	Arkansas	Arkansas	age_adjusted_premature_mortality	544.7
5003	Arkansas	Ashley	age_adjusted_premature_mortality	500.3
5005	Arkansas	Baxter	age_adjusted_premature_mortality	440.9
5007	Arkansas	Benton	age_adjusted_premature_mortality	326.6
5009	Arkansas	Boone	age_adjusted_premature_mortality	421.6
5011	Arkansas	Bradley	age_adjusted_premature_mortality	481.3
5013	Arkansas	Calhoun	age_adjusted_premature_mortality	457.4
5015	Arkansas	Carroll	age_adjusted_premature_mortality	392.4
5017	Arkansas	Chicot	age_adjusted_premature_mortality	566.4
5019	Arkansas	Clark	age_adjusted_premature_mortality	447.9
5021	Arkansas	Clay	age_adjusted_premature_mortality	457.7
5023	Arkansas	Cleburne	age_adjusted_premature_mortality	435.7
5025	Arkansas	Cleveland	age_adjusted_premature_mortality	436.2
5027	Arkansas	Columbia	age_adjusted_premature_mortality	507.7
5029	Arkansas	Conway	age_adjusted_premature_mortality	494.4
5031	Arkansas	Craighead	age_adjusted_premature_mortality	436
5033	Arkansas	Crawford	age_adjusted_premature_mortality	463.4
5035	Arkansas	Crittenden	age_adjusted_premature_mortality	615
5037	Arkansas	Cross	age_adjusted_premature_mortality	498.8
5039	Arkansas	Dallas	age_adjusted_premature_mortality	516
5041	Arkansas	Desha	age_adjusted_premature_mortality	571.2
5043	Arkansas	Drew	age_adjusted_premature_mortality	460.1
5045	Arkansas	Faulkner	age_adjusted_premature_mortality	364.2
5047	Arkansas	Franklin	age_adjusted_premature_mortality	464.8
5049	Arkansas	Fulton	age_adjusted_premature_mortality	515.1
5051	Arkansas	Garland	age_adjusted_premature_mortality	475.8
5053	Arkansas	Grant	age_adjusted_premature_mortality	444.8
5055	Arkansas	Greene	age_adjusted_premature_mortality	499.6
5057	Arkansas	Hempstead	age_adjusted_premature_mortality	487.3
5059	Arkansas	Hot Spring	age_adjusted_premature_mortality	451.8
5061	Arkansas	Howard	age_adjusted_premature_mortality	489.7
5063	Arkansas	Independence	age_adjusted_premature_mortality	487.9
5065	Arkansas	Izard	age_adjusted_premature_mortality	469.1
5067	Arkansas	Jackson	age_adjusted_premature_mortality	537
5069	Arkansas	Jefferson	age_adjusted_premature_mortality	509.1
5071	Arkansas	Johnson	age_adjusted_premature_mortality	444.1
5073	Arkansas	Lafayette	age_adjusted_premature_mortality	612.7
5075	Arkansas	Lawrence	age_adjusted_premature_mortality	531.3
5077	Arkansas	Lee	age_adjusted_premature_mortality	633.5
5079	Arkansas	Lincoln	age_adjusted_premature_mortality	483.5
5081	Arkansas	Little River	age_adjusted_premature_mortality	547.8
5083	Arkansas	Logan	age_adjusted_premature_mortality	511.7
5085	Arkansas	Lonoke	age_adjusted_premature_mortality	437.3
5087	Arkansas	Madison	age_adjusted_premature_mortality	398
5089	Arkansas	Marion	age_adjusted_premature_mortality	461.9
5091	Arkansas	Miller	age_adjusted_premature_mortality	455.5
5093	Arkansas	Mississippi	age_adjusted_premature_mortality	658.6
5095	Arkansas	Monroe	age_adjusted_premature_mortality	570.4
5097	Arkansas	Montgomery	age_adjusted_premature_mortality	439.1
5099	Arkansas	Nevada	age_adjusted_premature_mortality	489.9
5101	Arkansas	Newton	age_adjusted_premature_mortality	463.3
5103	Arkansas	Ouachita	age_adjusted_premature_mortality	614.8
5105	Arkansas	Perry	age_adjusted_premature_mortality	433.9
5107	Arkansas	Phillips	age_adjusted_premature_mortality	673.8
5109	Arkansas	Pike	age_adjusted_premature_mortality	433.1
5111	Arkansas	Poinsett	age_adjusted_premature_mortality	641.5
5113	Arkansas	Polk	age_adjusted_premature_mortality	479.4
5115	Arkansas	Pope	age_adjusted_premature_mortality	415.5
5117	Arkansas	Prairie	age_adjusted_premature_mortality	497
5119	Arkansas	Pulaski	age_adjusted_premature_mortality	435.3
5121	Arkansas	Randolph	age_adjusted_premature_mortality	506.7
5123	Arkansas	St. Francis	age_adjusted_premature_mortality	506.8
5125	Arkansas	Saline	age_adjusted_premature_mortality	349.1
5127	Arkansas	Scott	age_adjusted_premature_mortality	482.5
5129	Arkansas	Searcy	age_adjusted_premature_mortality	365.5
5131	Arkansas	Sebastian	age_adjusted_premature_mortality	441.8
5133	Arkansas	Sevier	age_adjusted_premature_mortality	459.6
5135	Arkansas	Sharp	age_adjusted_premature_mortality	499.6
5137	Arkansas	Stone	age_adjusted_premature_mortality	438.7
5139	Arkansas	Union	age_adjusted_premature_mortality	578.6
5141	Arkansas	Van Buren	age_adjusted_premature_mortality	412.3
5143	Arkansas	Washington	age_adjusted_premature_mortality	363.3
5145	Arkansas	White	age_adjusted_premature_mortality	440.3
5147	Arkansas	Woodruff	age_adjusted_premature_mortality	643.8
5149	Arkansas	Yell	age_adjusted_premature_mortality	452.6
6001	California	Alameda	age_adjusted_premature_mortality	267.1
6003	California	Alpine	age_adjusted_premature_mortality	
6005	California	Amador	age_adjusted_premature_mortality	350.3
6007	California	Butte	age_adjusted_premature_mortality	403.8
6009	California	Calaveras	age_adjusted_premature_mortality	323.2
6011	California	Colusa	age_adjusted_premature_mortality	299.8
6013	California	Contra Costa	age_adjusted_premature_mortality	263
6015	California	Del Norte	age_adjusted_premature_mortality	455.4
6017	California	El Dorado	age_adjusted_premature_mortality	259.9
6019	California	Fresno	age_adjusted_premature_mortality	351.9
6021	California	Glenn	age_adjusted_premature_mortality	353
6023	California	Humboldt	age_adjusted_premature_mortality	407.3
6025	California	Imperial	age_adjusted_premature_mortality	291.7
6027	California	Inyo	age_adjusted_premature_mortality	339.1
6029	California	Kern	age_adjusted_premature_mortality	394.4
6031	California	Kings	age_adjusted_premature_mortality	349.1
6033	California	Lake	age_adjusted_premature_mortality	479.7
6035	California	Lassen	age_adjusted_premature_mortality	383.3
6037	California	Los Angeles	age_adjusted_premature_mortality	281.4
6039	California	Madera	age_adjusted_premature_mortality	333.4
