FIPS	State	County	Variable	mph_rate
5041	Arkansas	Desha	mph_rate	
5043	Arkansas	Drew	mph_rate	0
5045	Arkansas	Faulkner	mph_rate	0
5047	Arkansas	Franklin	mph_rate	
5049	Arkansas	Fulton	mph_rate	
5051	Arkansas	Garland	mph_rate	0
5053	Arkansas	Grant	mph_rate	
5055	Arkansas	Greene	mph_rate	0
5057	Arkansas	Hempstead	mph_rate	0
5059	Arkansas	Hot Spring	mph_rate	0
5061	Arkansas	Howard	mph_rate	
5063	Arkansas	Independence	mph_rate	0
5065	Arkansas	Izard	mph_rate	
5067	Arkansas	Jackson	mph_rate	0
5069	Arkansas	Jefferson	mph_rate	0
5071	Arkansas	Johnson	mph_rate	0
5073	Arkansas	Lafayette	mph_rate	
5075	Arkansas	Lawrence	mph_rate	
5077	Arkansas	Lee	mph_rate	0
5079	Arkansas	Lincoln	mph_rate	
5081	Arkansas	Little River	mph_rate	
5083	Arkansas	Logan	mph_rate	0
5085	Arkansas	Lonoke	mph_rate	0
5087	Arkansas	Madison	mph_rate	0
5089	Arkansas	Marion	mph_rate	
5091	Arkansas	Miller	mph_rate	0
5093	Arkansas	Mississippi	mph_rate	0
5095	Arkansas	Monroe	mph_rate	0
5097	Arkansas	Montgomery	mph_rate	0
5099	Arkansas	Nevada	mph_rate	
5101	Arkansas	Newton	mph_rate	
5103	Arkansas	Ouachita	mph_rate	0
5105	Arkansas	Perry	mph_rate	0
5107	Arkansas	Phillips	mph_rate	
5109	Arkansas	Pike	mph_rate	
5111	Arkansas	Poinsett	mph_rate	
5113	Arkansas	Polk	mph_rate	0
5115	Arkansas	Pope	mph_rate	0
5117	Arkansas	Prairie	mph_rate	0
5119	Arkansas	Pulaski	mph_rate	0
5121	Arkansas	Randolph	mph_rate	0
5123	Arkansas	St. Francis	mph_rate	0
5125	Arkansas	Saline	mph_rate	0
5127	Arkansas	Scott	mph_rate	
5129	Arkansas	Searcy	mph_rate	
5131	Arkansas	Sebastian	mph_rate	0
5133	Arkansas	Sevier	mph_rate	0
5135	Arkansas	Sharp	mph_rate	
5137	Arkansas	Stone	mph_rate	
5139	Arkansas	Union	mph_rate	0
5141	Arkansas	Van Buren	mph_rate	0
5143	Arkansas	Washington	mph_rate	0
5145	Arkansas	White	mph_rate	0
5147	Arkansas	Woodruff	mph_rate	
5149	Arkansas	Yell	mph_rate	
6001	California	Alameda	mph_rate	0
6003	California	Alpine	mph_rate	
6005	California	Amador	mph_rate	0
6007	California	Butte	mph_rate	0
6009	California	Calaveras	mph_rate	0
6011	California	Colusa	mph_rate	0
6013	California	Contra Costa	mph_rate	0
6015	California	Del Norte	mph_rate	0
6017	California	El Dorado	mph_rate	0
6019	California	Fresno	mph_rate	0
6021	California	Glenn	mph_rate	0
6023	California	Humboldt	mph_rate	0
6025	California	Imperial	mph_rate	0
6027	California	Inyo	mph_rate	0
6029	California	Kern	mph_rate	0
6031	California	Kings	mph_rate	0
6033	California	Lake	mph_rate	0
6035	California	Lassen	mph_rate	0
6037	California	Los Angeles	mph_rate	0
6039	California	Madera	mph_rate	0
6041	California	Marin	mph_rate	0
6043	California	Mariposa	mph_rate	0
6045	California	Mendocino	mph_rate	0
6047	California	Merced	mph_rate	0
6049	California	Modoc	mph_rate	0
6051	California	Mono	mph_rate	0
6053	California	Monterey	mph_rate	0
6055	California	Napa	mph_rate	0
6057	California	Nevada	mph_rate	0
6059	California	Orange	mph_rate	0
6061	California	Placer	mph_rate	0
6063	California	Plumas	mph_rate	0
6065	California	Riverside	mph_rate	0
6067	California	Sacramento	mph_rate	0
6069	California	San Benito	mph_rate	0
6071	California	San Bernardino	mph_rate	0
6073	California	San Diego	mph_rate	0
6075	California	San Francisco	mph_rate	0
6077	California	San Joaquin	mph_rate	0
6079	California	San Luis Obispo	mph_rate	0
6081	California	San Mateo	mph_rate	0
6083	California	Santa Barbara	mph_rate	0
6085	California	Santa Clara	mph_rate	0
6087	California	Santa Cruz	mph_rate	0
6089	California	Shasta	mph_rate	0
6091	California	Sierra	mph_rate	
6093	California	Siskiyou	mph_rate	0
6095	California	Solano	mph_rate	0
6097	California	Sonoma	mph_rate	0
6099	California	Stanislaus	mph_rate	0
6101	California	Sutter	mph_rate	0
6103	California	Tehama	mph_rate	0
6105	California	Trinity	mph_rate	0
6107	California	Tulare	mph_rate	0
6109	California	Tuolumne	mph_rate	0
6111	California	Ventura	mph_rate	0
6113	California	Yolo	mph_rate	0
6115	California	Yuba	mph_rate	0
8001	Colorado	Adams	mph_rate	0
8003	Colorado	Alamosa	mph_rate	0
8005	Colorado	Arapahoe	mph_rate	0
8007	Colorado	Archuleta	mph_rate	0
8009	Colorado	Baca	mph_rate	
8011	Colorado	Bent	mph_rate	0
8013	Colorado	Boulder	mph_rate	0
8014	Colorado	Broomfield	mph_rate	0
8015	Colorado	Chaffee	mph_rate	0
8017	Colorado	Cheyenne	mph_rate	
8019	Colorado	Clear Creek	mph_rate	0
8021	Colorado	Conejos	mph_rate	
8023	Colorado	Costilla	mph_rate	
8025	Colorado	Crowley	mph_rate	
8027	Colorado	Custer	mph_rate	
8029	Colorado	Delta	mph_rate	0
8031	Colorado	Denver	mph_rate	0
8033	Colorado	Dolores	mph_rate	
8035	Colorado	Douglas	mph_rate	0
8037	Colorado	Eagle	mph_rate	0
8039	Colorado	Elbert	mph_rate	0
8041	Colorado	El Paso	mph_rate	0
8043	Colorado	Fremont	mph_rate	0
8045	Colorado	Garfield	mph_rate	0
