FIPS	State	County	Variable	homicide_rate
5029	Arkansas	Conway	homicide_rate	8
5031	Arkansas	Craighead	homicide_rate	5
5033	Arkansas	Crawford	homicide_rate	4
5035	Arkansas	Crittenden	homicide_rate	14
5037	Arkansas	Cross	homicide_rate	
5039	Arkansas	Dallas	homicide_rate	17
5041	Arkansas	Desha	homicide_rate	20
5043	Arkansas	Drew	homicide_rate	
5045	Arkansas	Faulkner	homicide_rate	4
5047	Arkansas	Franklin	homicide_rate	
5049	Arkansas	Fulton	homicide_rate	
5051	Arkansas	Garland	homicide_rate	10
5053	Arkansas	Grant	homicide_rate	
5055	Arkansas	Greene	homicide_rate	6
5057	Arkansas	Hempstead	homicide_rate	8
5059	Arkansas	Hot Spring	homicide_rate	5
5061	Arkansas	Howard	homicide_rate	10
5063	Arkansas	Independence	homicide_rate	5
5065	Arkansas	Izard	homicide_rate	
5067	Arkansas	Jackson	homicide_rate	
5069	Arkansas	Jefferson	homicide_rate	20
5071	Arkansas	Johnson	homicide_rate	
5073	Arkansas	Lafayette	homicide_rate	
5075	Arkansas	Lawrence	homicide_rate	
5077	Arkansas	Lee	homicide_rate	26
5079	Arkansas	Lincoln	homicide_rate	
5081	Arkansas	Little River	homicide_rate	
5083	Arkansas	Logan	homicide_rate	6
5085	Arkansas	Lonoke	homicide_rate	4
5087	Arkansas	Madison	homicide_rate	
5089	Arkansas	Marion	homicide_rate	
5091	Arkansas	Miller	homicide_rate	7
5093	Arkansas	Mississippi	homicide_rate	12
5095	Arkansas	Monroe	homicide_rate	
5097	Arkansas	Montgomery	homicide_rate	
5099	Arkansas	Nevada	homicide_rate	
5101	Arkansas	Newton	homicide_rate	
5103	Arkansas	Ouachita	homicide_rate	13
5105	Arkansas	Perry	homicide_rate	
5107	Arkansas	Phillips	homicide_rate	30
5109	Arkansas	Pike	homicide_rate	
5111	Arkansas	Poinsett	homicide_rate	6
5113	Arkansas	Polk	homicide_rate	
5115	Arkansas	Pope	homicide_rate	3
5117	Arkansas	Prairie	homicide_rate	
5119	Arkansas	Pulaski	homicide_rate	16
5121	Arkansas	Randolph	homicide_rate	
5123	Arkansas	St. Francis	homicide_rate	11
5125	Arkansas	Saline	homicide_rate	4
5127	Arkansas	Scott	homicide_rate	
5129	Arkansas	Searcy	homicide_rate	
5131	Arkansas	Sebastian	homicide_rate	5
5133	Arkansas	Sevier	homicide_rate	10
5135	Arkansas	Sharp	homicide_rate	
5137	Arkansas	Stone	homicide_rate	
5139	Arkansas	Union	homicide_rate	14
5141	Arkansas	Van Buren	homicide_rate	
5143	Arkansas	Washington	homicide_rate	3
5145	Arkansas	White	homicide_rate	4
5147	Arkansas	Woodruff	homicide_rate	
5149	Arkansas	Yell	homicide_rate	
6001	California	Alameda	homicide_rate	10
6003	California	Alpine	homicide_rate	
6005	California	Amador	homicide_rate	
6007	California	Butte	homicide_rate	4
6009	California	Calaveras	homicide_rate	3
6011	California	Colusa	homicide_rate	
6013	California	Contra Costa	homicide_rate	9
6015	California	Del Norte	homicide_rate	9
6017	California	El Dorado	homicide_rate	3
6019	California	Fresno	homicide_rate	8
6021	California	Glenn	homicide_rate	
6023	California	Humboldt	homicide_rate	4
6025	California	Imperial	homicide_rate	3
6027	California	Inyo	homicide_rate	
6029	California	Kern	homicide_rate	8
6031	California	Kings	homicide_rate	4
6033	California	Lake	homicide_rate	6
6035	California	Lassen	homicide_rate	5
6037	California	Los Angeles	homicide_rate	9
6039	California	Madera	homicide_rate	6
6041	California	Marin	homicide_rate	2
6043	California	Mariposa	homicide_rate	
