FIPS	State	County	Variable	pcnt_mammography
05021	Arkansas	Clay	pcnt_mammography	60.7
05023	Arkansas	Cleburne	pcnt_mammography	69.3
05025	Arkansas	Cleveland	pcnt_mammography	68.2
05027	Arkansas	Columbia	pcnt_mammography	58.9
05029	Arkansas	Conway	pcnt_mammography	63.4
05031	Arkansas	Craighead	pcnt_mammography	62.3
05033	Arkansas	Crawford	pcnt_mammography	67.5
05035	Arkansas	Crittenden	pcnt_mammography	59.0
05037	Arkansas	Cross	pcnt_mammography	49.2
05039	Arkansas	Dallas	pcnt_mammography	55.1
05041	Arkansas	Desha	pcnt_mammography	48.6
05043	Arkansas	Drew	pcnt_mammography	58.9
05045	Arkansas	Faulkner	pcnt_mammography	63.3
05047	Arkansas	Franklin	pcnt_mammography	62.0
05049	Arkansas	Fulton	pcnt_mammography	56.3
05051	Arkansas	Garland	pcnt_mammography	60.8
05053	Arkansas	Grant	pcnt_mammography	61.0
05055	Arkansas	Greene	pcnt_mammography	55.1
05057	Arkansas	Hempstead	pcnt_mammography	61.6
05059	Arkansas	Hot Spring	pcnt_mammography	52.6
05061	Arkansas	Howard	pcnt_mammography	58.3
05063	Arkansas	Independence	pcnt_mammography	59.9
05065	Arkansas	Izard	pcnt_mammography	62.2
05067	Arkansas	Jackson	pcnt_mammography	52.7
05069	Arkansas	Jefferson	pcnt_mammography	67.8
05071	Arkansas	Johnson	pcnt_mammography	54.9
05073	Arkansas	Lafayette	pcnt_mammography	62.4
05075	Arkansas	Lawrence	pcnt_mammography	56.2
05077	Arkansas	Lee	pcnt_mammography	56.9
05079	Arkansas	Lincoln	pcnt_mammography	63.8
05081	Arkansas	Little River	pcnt_mammography	52.5
05083	Arkansas	Logan	pcnt_mammography	55.6
05085	Arkansas	Lonoke	pcnt_mammography	60.5
05087	Arkansas	Madison	pcnt_mammography	44.3
05089	Arkansas	Marion	pcnt_mammography	61.7
05091	Arkansas	Miller	pcnt_mammography	61.6
05093	Arkansas	Mississippi	pcnt_mammography	47.1
05095	Arkansas	Monroe	pcnt_mammography	62.9
05097	Arkansas	Montgomery	pcnt_mammography	49.2
05099	Arkansas	Nevada	pcnt_mammography	63.8
05101	Arkansas	Newton	pcnt_mammography	53.1
05103	Arkansas	Ouachita	pcnt_mammography	66.9
05105	Arkansas	Perry	pcnt_mammography	51.2
05107	Arkansas	Phillips	pcnt_mammography	45.9
05109	Arkansas	Pike	pcnt_mammography	51.4
05111	Arkansas	Poinsett	pcnt_mammography	60.2
05113	Arkansas	Polk	pcnt_mammography	58.1
05115	Arkansas	Pope	pcnt_mammography	58.5
05117	Arkansas	Prairie	pcnt_mammography	61.7
05119	Arkansas	Pulaski	pcnt_mammography	66.1
05121	Arkansas	Randolph	pcnt_mammography	59.3
05123	Arkansas	St. Francis	pcnt_mammography	51.9
05125	Arkansas	Saline	pcnt_mammography	69.8
05127	Arkansas	Scott	pcnt_mammography	54.9
05129	Arkansas	Searcy	pcnt_mammography	52.9
05131	Arkansas	Sebastian	pcnt_mammography	66.3
05133	Arkansas	Sevier	pcnt_mammography	52.6
05135	Arkansas	Sharp	pcnt_mammography	60.7
05137	Arkansas	Stone	pcnt_mammography	52.8
05139	Arkansas	Union	pcnt_mammography	54.6
05141	Arkansas	Van Buren	pcnt_mammography	60.5
05143	Arkansas	Washington	pcnt_mammography	62.9
05145	Arkansas	White	pcnt_mammography	56.7
05147	Arkansas	Woodruff	pcnt_mammography	58.7
05149	Arkansas	Yell	pcnt_mammography	50.2
06001	California	Alameda	pcnt_mammography	63.2
06003	California	Alpine	pcnt_mammography	
06005	California	Amador	pcnt_mammography	71.2
06007	California	Butte	pcnt_mammography	64.5
06009	California	Calaveras	pcnt_mammography	66.7
06011	California	Colusa	pcnt_mammography	63.6
06013	California	Contra Costa	pcnt_mammography	68.4
06015	California	Del Norte	pcnt_mammography	61.9
06017	California	El Dorado	pcnt_mammography	71.2
06019	California	Fresno	pcnt_mammography	62.9
06021	California	Glenn	pcnt_mammography	62.3
06023	California	Humboldt	pcnt_mammography	70.3
06025	California	Imperial	pcnt_mammography	53.5
06027	California	Inyo	pcnt_mammography	66.5
06029	California	Kern	pcnt_mammography	58.0
06031	California	Kings	pcnt_mammography	55.5
06033	California	Lake	pcnt_mammography	57.9
06035	California	Lassen	pcnt_mammography	59.1
06037	California	Los Angeles	pcnt_mammography	56.1
06039	California	Madera	pcnt_mammography	62.3
06041	California	Marin	pcnt_mammography	69.5
06043	California	Mariposa	pcnt_mammography	65.4
06045	California	Mendocino	pcnt_mammography	60.3
06047	California	Merced	pcnt_mammography	62.8
06049	California	Modoc	pcnt_mammography	54.8
06051	California	Mono	pcnt_mammography	67.1
06053	California	Monterey	pcnt_mammography	66.9
06055	California	Napa	pcnt_mammography	66.5
06057	California	Nevada	pcnt_mammography	72.6
06059	California	Orange	pcnt_mammography	65.3
06061	California	Placer	pcnt_mammography	72.9
06063	California	Plumas	pcnt_mammography	65.5
06065	California	Riverside	pcnt_mammography	61.9
06067	California	Sacramento	pcnt_mammography	62.4
06069	California	San Benito	pcnt_mammography	65.7
06071	California	San Bernardino	pcnt_mammography	54.7
06073	California	San Diego	pcnt_mammography	59.2
06075	California	San Francisco	pcnt_mammography	61.9
06077	California	San Joaquin	pcnt_mammography	62.6
06079	California	San Luis Obispo	pcnt_mammography	70.8
06081	California	San Mateo	pcnt_mammography	69.6
06083	California	Santa Barbara	pcnt_mammography	69.0
06085	California	Santa Clara	pcnt_mammography	66.6
06087	California	Santa Cruz	pcnt_mammography	69.4
06089	California	Shasta	pcnt_mammography	62.2
06091	California	Sierra	pcnt_mammography	78.5
06093	California	Siskiyou	pcnt_mammography	64.1
06095	California	Solano	pcnt_mammography	47.6
06097	California	Sonoma	pcnt_mammography	66.3
06099	California	Stanislaus	pcnt_mammography	63.3
06101	California	Sutter	pcnt_mammography	64.4
06103	California	Tehama	pcnt_mammography	66.0
06105	California	Trinity	pcnt_mammography	54.4
06107	California	Tulare	pcnt_mammography	61.5
06109	California	Tuolumne	pcnt_mammography	68.9
06111	California	Ventura	pcnt_mammography	65.6
06113	California	Yolo	pcnt_mammography	66.7
06115	California	Yuba	pcnt_mammography	57.5
08001	Colorado	Adams	pcnt_mammography	55.0
08003	Colorado	Alamosa	pcnt_mammography	47.6
08005	Colorado	Arapahoe	pcnt_mammography	67.1
08007	Colorado	Archuleta	pcnt_mammography	55.6
08009	Colorado	Baca	pcnt_mammography	55.4
08011	Colorado	Bent	pcnt_mammography	65.3
08013	Colorado	Boulder	pcnt_mammography	71.9
08014	Colorado	Broomfield	pcnt_mammography	66.1
08015	Colorado	Chaffee	pcnt_mammography	69.5
08017	Colorado	Cheyenne	pcnt_mammography	60.0
08019	Colorado	Clear Creek	pcnt_mammography	71.1
08021	Colorado	Conejos	pcnt_mammography	47.2
08023	Colorado	Costilla	pcnt_mammography	52.1
08025	Colorado	Crowley	pcnt_mammography	74.4
08027	Colorado	Custer	pcnt_mammography	71.0
08029	Colorado	Delta	pcnt_mammography	66.2
08031	Colorado	Denver	pcnt_mammography	63.5
08033	Colorado	Dolores	pcnt_mammography	
08035	Colorado	Douglas	pcnt_mammography	70.5
08037	Colorado	Eagle	pcnt_mammography	71.3
08039	Colorado	Elbert	pcnt_mammography	49.6
08041	Colorado	El Paso	pcnt_mammography	57.5
08043	Colorado	Fremont	pcnt_mammography	63.6
08045	Colorado	Garfield	pcnt_mammography	62.8
08047	Colorado	Gilpin	pcnt_mammography	
08049	Colorado	Grand	pcnt_mammography	63.6
08051	Colorado	Gunnison	pcnt_mammography	69.6
08053	Colorado	Hinsdale	pcnt_mammography	80.0
08055	Colorado	Huerfano	pcnt_mammography	58.9
08057	Colorado	Jackson	pcnt_mammography	61.9
08059	Colorado	Jefferson	pcnt_mammography	63.5
08061	Colorado	Kiowa	pcnt_mammography	
08063	Colorado	Kit Carson	pcnt_mammography	53.9
08065	Colorado	Lake	pcnt_mammography	76.6
08067	Colorado	La Plata	pcnt_mammography	66.1
08069	Colorado	Larimer	pcnt_mammography	70.5
08071	Colorado	Las Animas	pcnt_mammography	64.7
08073	Colorado	Lincoln	pcnt_mammography	50.0
08075	Colorado	Logan	pcnt_mammography	67.3
08077	Colorado	Mesa	pcnt_mammography	67.0
08079	Colorado	Mineral	pcnt_mammography	68.4
08081	Colorado	Moffat	pcnt_mammography	54.0
08083	Colorado	Montezuma	pcnt_mammography	61.8
08085	Colorado	Montrose	pcnt_mammography	70.5
08087	Colorado	Morgan	pcnt_mammography	57.1
08089	Colorado	Otero	pcnt_mammography	65.4
08091	Colorado	Ouray	pcnt_mammography	69.7
08093	Colorado	Park	pcnt_mammography	61.6
08095	Colorado	Phillips	pcnt_mammography	64.9
08097	Colorado	Pitkin	pcnt_mammography	72.7
08099	Colorado	Prowers	pcnt_mammography	50.8
08101	Colorado	Pueblo	pcnt_mammography	64.7
08103	Colorado	Rio Blanco	pcnt_mammography	60.7
08105	Colorado	Rio Grande	pcnt_mammography	62.9
08107	Colorado	Routt	pcnt_mammography	65.8
08109	Colorado	Saguache	pcnt_mammography	45.3
08111	Colorado	San Juan	pcnt_mammography	
08113	Colorado	San Miguel	pcnt_mammography	61.3
08115	Colorado	Sedgwick	pcnt_mammography	43.2
08117	Colorado	Summit	pcnt_mammography	77.1
08119	Colorado	Teller	pcnt_mammography	58.7
08121	Colorado	Washington	pcnt_mammography	58.8
08123	Colorado	Weld	pcnt_mammography	62.2
08125	Colorado	Yuma	pcnt_mammography	61.5
09001	Connecticut	Fairfield	pcnt_mammography	68.7
09003	Connecticut	Hartford	pcnt_mammography	72.1
09005	Connecticut	Litchfield	pcnt_mammography	71.1
09007	Connecticut	Middlesex	pcnt_mammography	74.7
09009	Connecticut	New Haven	pcnt_mammography	68.6
09011	Connecticut	New London	pcnt_mammography	74.5
09013	Connecticut	Tolland	pcnt_mammography	74.0
09015	Connecticut	Windham	pcnt_mammography	72.5
10001	Delaware	Kent	pcnt_mammography	68.8
10003	Delaware	New Castle	pcnt_mammography	69.9
10005	Delaware	Sussex	pcnt_mammography	73.6
11001	District of Columbia	District of Columbia	pcnt_mammography	66.7
12001	Florida	Alachua	pcnt_mammography	70.7
12003	Florida	Baker	pcnt_mammography	60.6
12005	Florida	Bay	pcnt_mammography	64.1
12007	Florida	Bradford	pcnt_mammography	68.1
12009	Florida	Brevard	pcnt_mammography	70.0
12011	Florida	Broward	pcnt_mammography	61.4
12013	Florida	Calhoun	pcnt_mammography	60.6
12015	Florida	Charlotte	pcnt_mammography	76.3
12017	Florida	Citrus	pcnt_mammography	73.0
12019	Florida	Clay	pcnt_mammography	66.7
12021	Florida	Collier	pcnt_mammography	78.0
12023	Florida	Columbia	pcnt_mammography	64.6
12027	Florida	DeSoto	pcnt_mammography	67.7
12029	Florida	Dixie	pcnt_mammography	51.3
12031	Florida	Duval	pcnt_mammography	67.6
12033	Florida	Escambia	pcnt_mammography	62.8
12035	Florida	Flagler	pcnt_mammography	80.3
12037	Florida	Franklin	pcnt_mammography	63.5
12039	Florida	Gadsden	pcnt_mammography	65.4
12041	Florida	Gilchrist	pcnt_mammography	61.7
12043	Florida	Glades	pcnt_mammography	57.9
12045	Florida	Gulf	pcnt_mammography	55.7
12047	Florida	Hamilton	pcnt_mammography	58.1
12049	Florida	Hardee	pcnt_mammography	54.9
12051	Florida	Hendry	pcnt_mammography	61.5
12053	Florida	Hernando	pcnt_mammography	72.7
12055	Florida	Highlands	pcnt_mammography	66.1
12057	Florida	Hillsborough	pcnt_mammography	66.2
12059	Florida	Holmes	pcnt_mammography	59.9
12061	Florida	Indian River	pcnt_mammography	75.0
12063	Florida	Jackson	pcnt_mammography	66.6
12065	Florida	Jefferson	pcnt_mammography	60.0
12067	Florida	Lafayette	pcnt_mammography	58.6
12069	Florida	Lake	pcnt_mammography	74.0
12071	Florida	Lee	pcnt_mammography	75.2
12073	Florida	Leon	pcnt_mammography	70.7
12075	Florida	Levy	pcnt_mammography	59.5
12077	Florida	Liberty	pcnt_mammography	58.7
12079	Florida	Madison	pcnt_mammography	59.4
12081	Florida	Manatee	pcnt_mammography	74.8
12083	Florida	Marion	pcnt_mammography	73.7
12085	Florida	Martin	pcnt_mammography	76.6
12086	Florida	Miami-Dade	pcnt_mammography	56.7
12087	Florida	Monroe	pcnt_mammography	62.5
12089	Florida	Nassau	pcnt_mammography	72.7
12091	Florida	Okaloosa	pcnt_mammography	69.8
12093	Florida	Okeechobee	pcnt_mammography	60.5
12095	Florida	Orange	pcnt_mammography	65.7
12097	Florida	Osceola	pcnt_mammography	57.9
12099	Florida	Palm Beach	pcnt_mammography	76.4
12101	Florida	Pasco	pcnt_mammography	72.1
12103	Florida	Pinellas	pcnt_mammography	70.0
12105	Florida	Polk	pcnt_mammography	69.7
12107	Florida	Putnam	pcnt_mammography	66.9
12109	Florida	St. Johns	pcnt_mammography	74.6
12111	Florida	St. Lucie	pcnt_mammography	71.3
12113	Florida	Santa Rosa	pcnt_mammography	68.3
12115	Florida	Sarasota	pcnt_mammography	77.9
12117	Florida	Seminole	pcnt_mammography	67.0
12119	Florida	Sumter	pcnt_mammography	84.4
12121	Florida	Suwannee	pcnt_mammography	62.6
12123	Florida	Taylor	pcnt_mammography	54.5
12125	Florida	Union	pcnt_mammography	51.1
12127	Florida	Volusia	pcnt_mammography	71.8
12129	Florida	Wakulla	pcnt_mammography	66.0
12131	Florida	Walton	pcnt_mammography	68.1
12133	Florida	Washington	pcnt_mammography	56.8
13001	Georgia	Appling	pcnt_mammography	57.0
13003	Georgia	Atkinson	pcnt_mammography	57.4
13005	Georgia	Bacon	pcnt_mammography	56.4
13007	Georgia	Baker	pcnt_mammography	62.9
13009	Georgia	Baldwin	pcnt_mammography	69.5
13011	Georgia	Banks	pcnt_mammography	55.0
13013	Georgia	Barrow	pcnt_mammography	61.5
13015	Georgia	Bartow	pcnt_mammography	64.3
13017	Georgia	Ben Hill	pcnt_mammography	54.0
13019	Georgia	Berrien	pcnt_mammography	62.5
13021	Georgia	Bibb	pcnt_mammography	69.1
13023	Georgia	Bleckley	pcnt_mammography	69.0
13025	Georgia	Brantley	pcnt_mammography	58.4
13027	Georgia	Brooks	pcnt_mammography	61.1
13029	Georgia	Bryan	pcnt_mammography	58.3
13031	Georgia	Bulloch	pcnt_mammography	62.9
13033	Georgia	Burke	pcnt_mammography	61.3
13035	Georgia	Butts	pcnt_mammography	61.1
13037	Georgia	Calhoun	pcnt_mammography	51.0
13039	Georgia	Camden	pcnt_mammography	70.5
13043	Georgia	Candler	pcnt_mammography	51.8
13045	Georgia	Carroll	pcnt_mammography	57.3
13047	Georgia	Catoosa	pcnt_mammography	63.1
13049	Georgia	Charlton	pcnt_mammography	53.6
13051	Georgia	Chatham	pcnt_mammography	73.6
13053	Georgia	Chattahoochee	pcnt_mammography	62.0
13055	Georgia	Chattooga	pcnt_mammography	54.4
13057	Georgia	Cherokee	pcnt_mammography	63.8
13059	Georgia	Clarke	pcnt_mammography	72.7
13061	Georgia	Clay	pcnt_mammography	75.0
13063	Georgia	Clayton	pcnt_mammography	53.8
13065	Georgia	Clinch	pcnt_mammography	57.1
13067	Georgia	Cobb	pcnt_mammography	67.6
13069	Georgia	Coffee	pcnt_mammography	56.9
13071	Georgia	Colquitt	pcnt_mammography	59.9
13073	Georgia	Columbia	pcnt_mammography	61.2
13075	Georgia	Cook	pcnt_mammography	70.7
13077	Georgia	Coweta	pcnt_mammography	62.0
13079	Georgia	Crawford	pcnt_mammography	50.0
13081	Georgia	Crisp	pcnt_mammography	67.6
13083	Georgia	Dade	pcnt_mammography	58.7
13085	Georgia	Dawson	pcnt_mammography	61.4
13087	Georgia	Decatur	pcnt_mammography	50.2
13089	Georgia	DeKalb	pcnt_mammography	63.1
13091	Georgia	Dodge	pcnt_mammography	60.3
13093	Georgia	Dooly	pcnt_mammography	74.5
13095	Georgia	Dougherty	pcnt_mammography	67.6
13097	Georgia	Douglas	pcnt_mammography	62.8
13099	Georgia	Early	pcnt_mammography	59.5
13101	Georgia	Echols	pcnt_mammography	
13103	Georgia	Effingham	pcnt_mammography	70.5
13105	Georgia	Elbert	pcnt_mammography	61.3
13107	Georgia	Emanuel	pcnt_mammography	60.2
13109	Georgia	Evans	pcnt_mammography	58.5
13111	Georgia	Fannin	pcnt_mammography	58.9
13113	Georgia	Fayette	pcnt_mammography	68.9
13115	Georgia	Floyd	pcnt_mammography	67.4
13117	Georgia	Forsyth	pcnt_mammography	66.1
13119	Georgia	Franklin	pcnt_mammography	60.4
13121	Georgia	Fulton	pcnt_mammography	66.0
13123	Georgia	Gilmer	pcnt_mammography	58.1
13125	Georgia	Glascock	pcnt_mammography	54.1
13127	Georgia	Glynn	pcnt_mammography	69.2
13129	Georgia	Gordon	pcnt_mammography	54.4
13131	Georgia	Grady	pcnt_mammography	64.6
13133	Georgia	Greene	pcnt_mammography	70.3
13135	Georgia	Gwinnett	pcnt_mammography	63.3
13137	Georgia	Habersham	pcnt_mammography	69.5
13139	Georgia	Hall	pcnt_mammography	67.0
13141	Georgia	Hancock	pcnt_mammography	68.2
13143	Georgia	Haralson	pcnt_mammography	63.1
13145	Georgia	Harris	pcnt_mammography	66.8
13147	Georgia	Hart	pcnt_mammography	59.7
13149	Georgia	Heard	pcnt_mammography	51.3
13151	Georgia	Henry	pcnt_mammography	64.3
13153	Georgia	Houston	pcnt_mammography	65.1
13155	Georgia	Irwin	pcnt_mammography	71.4
13157	Georgia	Jackson	pcnt_mammography	62.4
13159	Georgia	Jasper	pcnt_mammography	63.0
13161	Georgia	Jeff Davis	pcnt_mammography	51.0
13163	Georgia	Jefferson	pcnt_mammography	63.0
13165	Georgia	Jenkins	pcnt_mammography	56.7
13167	Georgia	Johnson	pcnt_mammography	54.6
13169	Georgia	Jones	pcnt_mammography	69.2
13171	Georgia	Lamar	pcnt_mammography	51.7
13173	Georgia	Lanier	pcnt_mammography	46.0
13175	Georgia	Laurens	pcnt_mammography	66.8
13177	Georgia	Lee	pcnt_mammography	65.2
13179	Georgia	Liberty	pcnt_mammography	56.9
13181	Georgia	Lincoln	pcnt_mammography	56.8
13183	Georgia	Long	pcnt_mammography	65.0
13185	Georgia	Lowndes	pcnt_mammography	66.3
13187	Georgia	Lumpkin	pcnt_mammography	67.8
13189	Georgia	McDuffie	pcnt_mammography	51.9
13191	Georgia	McIntosh	pcnt_mammography	71.9
13193	Georgia	Macon	pcnt_mammography	69.6
13195	Georgia	Madison	pcnt_mammography	70.5
13197	Georgia	Marion	pcnt_mammography	44.9
13199	Georgia	Meriwether	pcnt_mammography	52.7
13201	Georgia	Miller	pcnt_mammography	53.7
13205	Georgia	Mitchell	pcnt_mammography	65.2
13207	Georgia	Monroe	pcnt_mammography	65.6
13209	Georgia	Montgomery	pcnt_mammography	58.8
13211	Georgia	Morgan	pcnt_mammography	73.4
13213	Georgia	Murray	pcnt_mammography	52.7
13215	Georgia	Muscogee	pcnt_mammography	62.8
13217	Georgia	Newton	pcnt_mammography	68.1
13219	Georgia	Oconee	pcnt_mammography	71.4
13221	Georgia	Oglethorpe	pcnt_mammography	67.9
13223	Georgia	Paulding	pcnt_mammography	64.2
13225	Georgia	Peach	pcnt_mammography	63.0
13227	Georgia	Pickens	pcnt_mammography	62.8
13229	Georgia	Pierce	pcnt_mammography	59.8
13231	Georgia	Pike	pcnt_mammography	64.1
13233	Georgia	Polk	pcnt_mammography	66.6
13235	Georgia	Pulaski	pcnt_mammography	72.9
13237	Georgia	Putnam	pcnt_mammography	65.1
13239	Georgia	Quitman	pcnt_mammography	70.6
