FIPS	State	County	Variable	rec_facility_rate
4023	Arizona	Santa Cruz	rec_facility_rate	2.1
4025	Arizona	Yavapai	rec_facility_rate	10.9
4027	Arizona	Yuma	rec_facility_rate	5.1
5001	Arkansas	Arkansas	rec_facility_rate	5.3
5003	Arkansas	Ashley	rec_facility_rate	0
5005	Arkansas	Baxter	rec_facility_rate	9.6
5007	Arkansas	Benton	rec_facility_rate	10.3
5009	Arkansas	Boone	rec_facility_rate	2.7
5011	Arkansas	Bradley	rec_facility_rate	8.7
5013	Arkansas	Calhoun	rec_facility_rate	0
5015	Arkansas	Carroll	rec_facility_rate	10.9
5017	Arkansas	Chicot	rec_facility_rate	0
5019	Arkansas	Clark	rec_facility_rate	17.4
5021	Arkansas	Clay	rec_facility_rate	6.2
5023	Arkansas	Cleburne	rec_facility_rate	3.8
5025	Arkansas	Cleveland	rec_facility_rate	0
5027	Arkansas	Columbia	rec_facility_rate	16.3
5029	Arkansas	Conway	rec_facility_rate	9.4
5031	Arkansas	Craighead	rec_facility_rate	7.2
5033	Arkansas	Crawford	rec_facility_rate	6.5
5035	Arkansas	Crittenden	rec_facility_rate	2
5037	Arkansas	Cross	rec_facility_rate	16.8
5039	Arkansas	Dallas	rec_facility_rate	0
5041	Arkansas	Desha	rec_facility_rate	7.7
5043	Arkansas	Drew	rec_facility_rate	5.4
5045	Arkansas	Faulkner	rec_facility_rate	9.6
5047	Arkansas	Franklin	rec_facility_rate	0
5049	Arkansas	Fulton	rec_facility_rate	0
5051	Arkansas	Garland	rec_facility_rate	10.4
5053	Arkansas	Grant	rec_facility_rate	0
5055	Arkansas	Greene	rec_facility_rate	9.5
5057	Arkansas	Hempstead	rec_facility_rate	13.3
5059	Arkansas	Hot Spring	rec_facility_rate	6.1
5061	Arkansas	Howard	rec_facility_rate	14.5
5063	Arkansas	Independence	rec_facility_rate	5.4
5065	Arkansas	Izard	rec_facility_rate	0
5067	Arkansas	Jackson	rec_facility_rate	11.1
5069	Arkansas	Jefferson	rec_facility_rate	2.6
5071	Arkansas	Johnson	rec_facility_rate	7.8
5073	Arkansas	Lafayette	rec_facility_rate	0
5075	Arkansas	Lawrence	rec_facility_rate	0
5077	Arkansas	Lee	rec_facility_rate	0
5079	Arkansas	Lincoln	rec_facility_rate	7.1
5081	Arkansas	Little River	rec_facility_rate	0
5083	Arkansas	Logan	rec_facility_rate	4.5
5085	Arkansas	Lonoke	rec_facility_rate	5.8
5087	Arkansas	Madison	rec_facility_rate	6.4
5089	Arkansas	Marion	rec_facility_rate	0
5091	Arkansas	Miller	rec_facility_rate	4.6
5093	Arkansas	Mississippi	rec_facility_rate	4.3
5095	Arkansas	Monroe	rec_facility_rate	0
5097	Arkansas	Montgomery	rec_facility_rate	10.5
5099	Arkansas	Nevada	rec_facility_rate	0
5101	Arkansas	Newton	rec_facility_rate	0
5103	Arkansas	Ouachita	rec_facility_rate	11.5
5105	Arkansas	Perry	rec_facility_rate	0
5107	Arkansas	Phillips	rec_facility_rate	4.6
5109	Arkansas	Pike	rec_facility_rate	0
5111	Arkansas	Poinsett	rec_facility_rate	0
5113	Arkansas	Polk	rec_facility_rate	4.8
5115	Arkansas	Pope	rec_facility_rate	8.1
5117	Arkansas	Prairie	rec_facility_rate	0
5119	Arkansas	Pulaski	rec_facility_rate	11.2
5121	Arkansas	Randolph	rec_facility_rate	11.1
5123	Arkansas	St. Francis	rec_facility_rate	0
5125	Arkansas	Saline	rec_facility_rate	8.4
5127	Arkansas	Scott	rec_facility_rate	0
5129	Arkansas	Searcy	rec_facility_rate	0
5131	Arkansas	Sebastian	rec_facility_rate	10.3
5133	Arkansas	Sevier	rec_facility_rate	5.8
5135	Arkansas	Sharp	rec_facility_rate	5.8
5137	Arkansas	Stone	rec_facility_rate	0
5139	Arkansas	Union	rec_facility_rate	4.8
5141	Arkansas	Van Buren	rec_facility_rate	5.8
