Latitude,Longitude,BactRelAbundance,FirmRelAbundance
37.8104,-122.24,0.4111,0.4963
37.4561,-122.124,0.2971,0.6586
32.9437,-117.209,0.5085,0.4671
42.4663727,-72.5795115,0.179,0.3913
45.7399,-122.474,0.621,0.3489
37.3694,-122.141,0.4027,0.5471
30.0376,-90.1448,0.2545,0.7084
40.7388,-73.9815,0.0262,0.9331
42.3421605,-71.1240559,0.3961,0.5387
40.0149856,-105.2705456,0.7859,0.1957
45.4618086,-122.7181902,0.5132,0.4644
41.4892155,-71.5360666,0.6926,0.2784
36.0887,-79.0871,0.3601,0.5681
37.8857582,-122.1180201,0.0545,0.8789
41.234,-96.1156,0.376,0.6228
39.0992752,-76.8483061,0.4814,0.4532
33.9812,-84.1541,0.7605,0.1136
40.7449081,-73.9569225,0.1208,0.5009
35.8880796,-106.3069722,0.4692,0.4918
38.6923,-121.228,0.771,0.2045
39.8774533,-105.0382076,0.3131,0.6363
47.6084921,-122.336407,0.2809,0.6849
35.2095,-86.5401,0.0406,0.8381
40.799333,-74.414889,0.0085,0.94
40.7787902,-73.9065883,0.3309,0.5803
45.0167,-93.3364,0.3602,0.5766
37.4634447,-122.2256803,0.2496,0.5899
39.7312,-104.983,0.2265,0.6452
30.2205397,-81.5537192,0.3512,0.5412
37.8911,-122.543,0.4431,0.5381
43.0592056,-89.4008958,0.3071,0.6025
34.1395597,-118.3870991,0.4171,0.5302
42.83388,-71.0014343,0.3747,0.5098
38.6447,-90.3254,0.5037,0.4593
38.8991,-77.4358,0.2524,0.7268
42.2705,-71.8512,0.3503,0.5881
45.6834599,-111.050499,0.4104,0.5531
37.7929789,-122.4212424,0.5536,0.3677
33.7047,-111.988,0.7018,0.2857
38.2641,-85.5509,0.551,0.4217
42.9481,-88.2656,0.4584,0.504
39.249683,-119.9526847,0.0913,0.4198
33.9734876,-118.4226766,0.1401,0.7902
39.2859,-86.3985,0.4018,0.5254
64.8388,-147.721,0.639,0.154
39.977763,-105.1319296,0.5521,0.4262
39.4737,-106.182,0.5021,0.4694
44.0021,-123.102,0.2188,0.6902
38.6507,-121.257,0.6009,0.371
39.7069307,-104.9564084,0.8215,0.1762
42.6322463,-73.7654367,0.8497,0.143
37.6475,-77.625,0.0036,0.8004
35.967,-106.088,0.6486,0.321
42.5250906,-71.759794,0.2456,0.4797
33.355,-112.036,0.4463,0.476
36.3413,-82.3235,0.9055,0.0885
40.7519846,-73.9697795,0.573,0.3812
39.4949,-119.876,0.5491,0.2138
40.1672068,-105.1019275,0.5411,0.4333
32.8113,-117.038,0.4933,0.4317
46.7312745,-117.1796158,0.7849,0.1905
35.101,-106.57,0.3463,0.6379
39.0064,-76.8779,0.0092,0.3471
30.0780222,-90.1214235,0.1876,0.7507
47.9088,-122.268,0.6889,0.2568
38.5517,-121.454,0.4801,0.482
41.8445,-72.5796,0.5303,0.3819
35.8987,-86.9624,0.4928,0.4646
37.7813454,-122.497668,0.7313,0.2375
45.1255,-93.4509,0.5629,0.3874
40.8831011,-85.497476,0.0548,0.8866
38.9502497,-77.0161436,0.3597,0.6046
41.5083668,-72.9106202,0.4298,0.525
34.1014873,-84.5193754,0.3695,0.1138
38.5128714,-121.4970294,0.0008,0.9897
45.2788561,-92.9852183,0.6753,0.2463
41.5282,-91.7344,0.7087,0.2624
40.0418,-105.348,0.3655,0.5996
42.2862562,-71.1274989,0.4419,0.5508
47.6385,-122.367,0.5738,0.399
40.0034,-111.547,0.5858,0.3917
39.9961,-105.091,0.1841,0.7409
47.6445386,-122.6948697,0.2207,0.5524
34.0050079,-118.8100893,0.411,0.5724
40.0149856,-105.2705456,0.7746,0.2064
40.1171,-98.5282,0.7105,0.0415
42.6695,-76.6297,0.5263,0.4278
47.759,-122.202,0.2687,0.6655
40.2742,-76.8923,0.1714,0.6926
42.2705,-71.8512,0.5735,0.2793
61.1609702,-149.8770255,0.6311,0.3329
43.0222,-83.3789,0.6964,0.29
39.7306,-105.196,0.4359,0.353
40.7769059,-73.9800645,0.5367,0.4422
45.5353,-122.604,0.0773,0.7876
47.6600087,-122.3425575,0.687,0.2987
38.8462,-91.949,0.7442,0.2444
37.5464,-77.4645,0.5238,0.2462
43.0906186,-77.5149969,0.5162,0.1443
45.7748445,-121.1375708,0.3682,0.1544
37.7618,-122.399,0.6441,0.3186
37.9161326,-122.310765,0.5721,0.315
30.2915328,-97.7688358,0.1461,0.7876
40.7687,-73.9918,0.6604,0.3183
32.84722,-117.27333,0.2632,0.6384
37.4308503,-121.9529992,0.2736,0.6821
40.0555,-105.284,0.5189,0.4027
46.6540153,-120.5300666,0.2217,0.759
40.3542647,-74.6620003,0.3561,0.632
45.0123,-93.1641,0.2257,0.7371
34.1405,-118.127,0.1778,0.769
41.1325,-81.8443,0.5931,0.1206
45.7053966,-121.5214623,0.0744,0.7414
38.912068,-77.0190228,0.6906,0.2713
39.0072,-76.9297,0.5298,0.2359
37.7199,-122.169,0.3746,0.5268
39.6500192,-104.8802745,0.6915,0.2917
35.7998,-78.8722,0.6379,0.1315
42.1099506,-87.9824758,0.0913,0.8455
32.9436607,-117.2088167,0.2875,0.6635
26.3595,-81.7678,0.553,0.3757
45.2788561,-92.9852183,0.3942,0.5454
30.3058,-97.8178,0.2965,0.4393
40.7214251,-89.2728627,0.665,0.3147
36.6002378,-121.8946761,0.6138,0.3478
42.1867052,-86.2605776,0.4557,0.4928
47.6458327,-122.5434407,0.3633,0.1402
42.3964457,-71.1359393,0.4102,0.4545
42.1867052,-86.2605776,0.344,0.6126
40.7300099,-74.0654857,0.4393,0.5227
30.6649119,-97.9225161,0.8283,0.114
39.1184,-123.169,0.2444,0.7209
34.10885,-118.2234229,0.5017,0.4436
41.8817,-87.6926,0.8201,0.1689
40.4118,-75.0401,0.6044,0.3526
38.8965654,-121.0768901,0.6098,0.3509
39.98,-105.249,0.377,0.5034
40.799333,-74.414889,0.1275,0.7606
41.9013,-87.6828,0.7729,0.187
39.9188,-105.067,0.6912,0.3028
37.3852183,-122.1141298,0.368,0.2878
40.0555,-105.284,0.6607,0.2367
36.1453333,-115.2778317,0.5889,0.3759
37.7346,-122.464,0.1425,0.7823
41.1795,-73.8537,0.3314,0.5433
46.239409,-119.2934654,0.5142,0.3677
33.6275483,-112.0595603,0.8657,0.1041
